symbol,lastPrice,volume
ETHBTC,0.05440000,41642.45740000
LTCBTC,0.00215000,37953.93600000
BNBBTC,0.00721300,34964.59200000
NEOBTC,0.00022970,24682.36000000
QTUMETH,0.00138500,1399.00000000
EOSETH,0.00034130,23688.30000000
SNTETH,0.00001638,1586959.00000000
BNTETH,0.00037140,94749.70000000
BCCBTC,0.00000000,0.00000000
GASBTC,0.00007910,11955.20000000
BNBETH,0.13260000,6758.92200000
BTCUSDT,29475.33000000,62228.80670000
ETHUSDT,1603.75000000,333448.32080000
HSRBTC,0.00000000,0.00000000
OAXETH,0.00000000,0.00000000
DNTETH,0.00000000,0.00000000
MCOETH,0.00000000,0.00000000
ICNETH,0.00000000,0.00000000
MCOBTC,0.00000000,0.00000000
WTCBTC,0.00000498,270017.00000000
WTCETH,0.00000000,0.00000000
LRCBTC,0.00000566,280866.00000000
LRCETH,0.00010412,18322.00000000
QTUMBTC,0.00007540,9268.90000000
YOYOBTC,0.00000000,0.00000000
OMGBTC,0.00000000,0.00000000
OMGETH,0.00000000,0.00000000
ZRXBTC,0.00000711,455575.00000000
ZRXETH,0.00000000,0.00000000
STRATBTC,0.00000000,0.00000000
STRATETH,0.00000000,0.00000000
SNGLSBTC,0.00000000,0.00000000
SNGLSETH,0.00000000,0.00000000
BQXBTC,0.00000000,0.00000000
BQXETH,0.00000000,0.00000000
KNCBTC,0.00002154,233662.00000000
KNCETH,0.00000000,0.00000000
FUNBTC,0.00000000,0.00000000
FUNETH,0.00000270,71500151.00000000
SNMBTC,0.00000057,26662465.00000000
SNMETH,0.00000000,0.00000000
NEOETH,0.00422400,2039.71000000
IOTABTC,0.00000484,639290.00000000
IOTAETH,0.00008920,75375.00000000
LINKBTC,0.00025910,191225.78000000
LINKETH,0.00476000,21331.45000000
XVGBTC,0.00000000,0.00000000
XVGETH,0.00000201,526984.00000000
SALTBTC,0.00000000,0.00000000
SALTETH,0.00000000,0.00000000
MDABTC,0.00000000,0.00000000
MDAETH,0.00000000,0.00000000
MTLBTC,0.00004415,186741.50000000
MTLETH,0.00068340,4696.30000000
SUBBTC,0.00000000,0.00000000
SUBETH,0.00000000,0.00000000
EOSBTC,0.00001859,624416.10000000
SNTBTC,0.00000089,6739904.00000000
ETCETH,0.00954000,1717.71000000
ETCBTC,0.00051800,26666.39000000
MTHBTC,0.00000000,0.00000000
MTHETH,0.00000000,0.00000000
ENGBTC,0.00000000,0.00000000
ENGETH,0.00000000,0.00000000
DNTBTC,0.00000000,0.00000000
ZECBTC,0.00086200,2826.12800000
ZECETH,0.01584000,224.41000000
BNTBTC,0.00002024,239307.80000000
ASTBTC,0.00000278,575863.00000000
ASTETH,0.00000000,0.00000000
DASHBTC,0.00086400,3381.79400000
DASHETH,0.01592000,592.91800000
OAXBTC,0.00000627,3105017.00000000
ICNBTC,0.00000000,0.00000000
BTGBTC,0.00000000,0.00000000
BTGETH,0.00000000,0.00000000
EVXBTC,0.00000000,0.00000000
EVXETH,0.00000000,0.00000000
REQBTC,0.00000245,5184331.00000000
REQETH,0.00000000,0.00000000
VIBBTC,0.00000217,10327491.00000000
VIBETH,0.00000000,0.00000000
HSRETH,0.00000000,0.00000000
TRXBTC,0.00000309,19712648.00000000
TRXETH,0.00005683,3942336.00000000
POWRBTC,0.00000640,1599338.00000000
POWRETH,0.00011710,253735.00000000
ARKBTC,0.00000000,0.00000000
ARKETH,0.00000000,0.00000000
YOYOETH,0.00000000,0.00000000
XRPBTC,0.00001761,53584030.00000000
XRPETH,0.00032370,3788903.00000000
MODBTC,0.00000000,0.00000000
MODETH,0.00000000,0.00000000
ENJBTC,0.00000704,408012.50000000
ENJETH,0.00013050,82914.40000000
STORJBTC,0.00001293,723450.00000000
STORJETH,0.00000000,0.00000000
BNBUSDT,212.70000000,382818.34800000
VENBNB,0.00000000,0.00000000
YOYOBNB,0.00000000,0.00000000
POWRBNB,0.00000000,0.00000000
VENBTC,0.00000000,0.00000000
VENETH,0.00000000,0.00000000
KMDBTC,0.00000729,80728.00000000
KMDETH,0.00000000,0.00000000
NULSBNB,0.00000000,0.00000000
RCNBTC,0.00000000,0.00000000
RCNETH,0.00000000,0.00000000
RCNBNB,0.00000000,0.00000000
NULSBTC,0.00000592,69549.00000000
NULSETH,0.00000000,0.00000000
RDNBTC,0.00000000,0.00000000
RDNETH,0.00000000,0.00000000
RDNBNB,0.00000000,0.00000000
XMRBTC,0.00525000,27624.08900000
XMRETH,0.09647000,3086.54100000
DLTBNB,0.00000000,0.00000000
WTCBNB,0.00000000,0.00000000
DLTBTC,0.00000000,0.00000000
DLTETH,0.00000000,0.00000000
AMBBTC,0.00000029,31577129.00000000
AMBETH,0.00000000,0.00000000
AMBBNB,0.00000000,0.00000000
BCCETH,0.00000000,0.00000000
BCCUSDT,0.00000000,0.00000000
BCCBNB,0.00000000,0.00000000
BATBTC,0.00000608,81386.00000000
BATETH,0.00010630,6199.00000000
BATBNB,0.00000000,0.00000000
BCPTBTC,0.00000000,0.00000000
BCPTETH,0.00000000,0.00000000
BCPTBNB,0.00000000,0.00000000
ARNBTC,0.00000000,0.00000000
ARNETH,0.00000000,0.00000000
GVTBTC,0.00000000,0.00000000
GVTETH,0.00000000,0.00000000
CDTBTC,0.00000000,0.00000000
CDTETH,0.00000000,0.00000000
GXSBTC,0.00000000,0.00000000
GXSETH,0.00000000,0.00000000
NEOUSDT,6.78000000,358666.87000000
NEOBNB,0.03180000,297.45000000
POEBTC,0.00000000,0.00000000
POEETH,0.00000000,0.00000000
QSPBTC,0.00000000,0.00000000
QSPETH,0.00000000,0.00000000
QSPBNB,0.00000000,0.00000000
BTSBTC,0.00000000,0.00000000
BTSETH,0.00000000,0.00000000
BTSBNB,0.00000000,0.00000000
XZCBTC,0.00000000,0.00000000
XZCETH,0.00000000,0.00000000
XZCBNB,0.00000000,0.00000000
LSKBTC,0.00002858,330213.30000000
LSKETH,0.00052400,63271.60000000
LSKBNB,0.00000000,0.00000000
TNTBTC,0.00000000,0.00000000
TNTETH,0.00000000,0.00000000
FUELBTC,0.00000000,0.00000000
FUELETH,0.00000000,0.00000000
MANABTC,0.00000967,346060.00000000
MANAETH,0.00017790,18084.00000000
BCDBTC,0.00000000,0.00000000
BCDETH,0.00000000,0.00000000
DGDBTC,0.00000000,0.00000000
DGDETH,0.00000000,0.00000000
IOTABNB,0.00071700,92481.00000000
ADXBTC,0.00000451,1462133.00000000
ADXETH,0.00008270,1110040.00000000
ADXBNB,0.00000000,0.00000000
ADABTC,0.00000850,5406132.70000000
ADAETH,0.00015630,560776.00000000
PPTBTC,0.00000000,0.00000000
PPTETH,0.00000000,0.00000000
CMTBTC,0.00000000,0.00000000
CMTETH,0.00000000,0.00000000
CMTBNB,0.00000000,0.00000000
XLMBTC,0.00000368,9845695.00000000
XLMETH,0.00006760,498146.00000000
XLMBNB,0.00050970,273024.00000000
CNDBTC,0.00000000,0.00000000
CNDETH,0.00000000,0.00000000
CNDBNB,0.00000000,0.00000000
LENDBTC,0.00000000,0.00000000
LENDETH,0.00000000,0.00000000
WABIBTC,0.00000000,0.00000000
WABIETH,0.00000000,0.00000000
WABIBNB,0.00000000,0.00000000
LTCETH,0.03953000,4300.01700000
LTCUSDT,63.38000000,424159.56800000
LTCBNB,0.29810000,1450.83200000
TNBBTC,0.00000000,0.00000000
TNBETH,0.00000000,0.00000000
WAVESBTC,0.00005060,69330.98000000
WAVESETH,0.00093100,1566.85000000
WAVESBNB,0.00000000,0.00000000
GTOBTC,0.00000000,0.00000000
GTOETH,0.00000000,0.00000000
GTOBNB,0.00000000,0.00000000
ICXBTC,0.00000623,272699.00000000
ICXETH,0.00000000,0.00000000
ICXBNB,0.00000000,0.00000000
OSTBTC,0.00000000,0.00000000
OSTETH,0.00000000,0.00000000
OSTBNB,0.00000000,0.00000000
ELFBTC,0.00001169,765065.00000000
ELFETH,0.00021400,340357.00000000
AIONBTC,0.00000000,0.00000000
AIONETH,0.00000000,0.00000000
AIONBNB,0.00000000,0.00000000
NEBLBTC,0.00000000,0.00000000
NEBLBNB,0.00000000,0.00000000
BRDBTC,0.00000000,0.00000000
BRDETH,0.00000000,0.00000000
BRDBNB,0.00000000,0.00000000
MCOBNB,0.00000000,0.00000000
EDOBTC,0.00000000,0.00000000
EDOETH,0.00000000,0.00000000
WINGSBTC,0.00000000,0.00000000
WINGSETH,0.00000000,0.00000000
NAVBTC,0.00000000,0.00000000
NAVETH,0.00000000,0.00000000
NAVBNB,0.00000000,0.00000000
LUNBTC,0.00000000,0.00000000
LUNETH,0.00000000,0.00000000
TRIGBTC,0.00000000,0.00000000
TRIGETH,0.00000000,0.00000000
TRIGBNB,0.00000000,0.00000000
APPCBTC,0.00000000,0.00000000
APPCETH,0.00000000,0.00000000
APPCBNB,0.00000000,0.00000000
VIBEBTC,0.00000000,0.00000000
VIBEETH,0.00000000,0.00000000
RLCBTC,0.00003278,19830.60000000
RLCETH,0.00060200,8043.50000000
RLCBNB,0.00000000,0.00000000
INSBTC,0.00000000,0.00000000
INSETH,0.00000000,0.00000000
PIVXBTC,0.00000627,1148238.00000000
PIVXBNB,0.00000000,0.00000000
IOSTBTC,0.00000026,13000872.00000000
IOSTETH,0.00000477,2483906.00000000
CHATBTC,0.00000000,0.00000000
CHATETH,0.00000000,0.00000000
STEEMBTC,0.00000645,165201.00000000
STEEMETH,0.00011830,66354.00000000
STEEMBNB,0.00000000,0.00000000
NANOBTC,0.00000000,0.00000000
NANOETH,0.00000000,0.00000000
NANOBNB,0.00000000,0.00000000
VIABTC,0.00000000,0.00000000
VIAETH,0.00000000,0.00000000
VIABNB,0.00000000,0.00000000
BLZBTC,0.00000595,2722453.00000000
BLZETH,0.00000000,0.00000000
BLZBNB,0.00000000,0.00000000
AEBTC,0.00000000,0.00000000
AEETH,0.00000000,0.00000000
AEBNB,0.00000000,0.00000000
RPXBTC,0.00000000,0.00000000
RPXETH,0.00000000,0.00000000
RPXBNB,0.00000000,0.00000000
NCASHBTC,0.00000000,0.00000000
NCASHETH,0.00000000,0.00000000
NCASHBNB,0.00000000,0.00000000
POABTC,0.00000000,0.00000000
POAETH,0.00000000,0.00000000
POABNB,0.00000000,0.00000000
ZILBTC,0.00000057,13826167.00000000
ZILETH,0.00001049,876590.00000000
ZILBNB,0.00007896,322571.00000000
ONTBTC,0.00000576,136822.00000000
ONTETH,0.00000000,0.00000000
ONTBNB,0.00000000,0.00000000
STORMBTC,0.00000000,0.00000000
STORMETH,0.00000000,0.00000000
STORMBNB,0.00000000,0.00000000
QTUMBNB,0.00000000,0.00000000
QTUMUSDT,2.22200000,332351.70000000
XEMBTC,0.00000000,0.00000000
XEMETH,0.00000000,0.00000000
XEMBNB,0.00000000,0.00000000
WANBTC,0.00000592,99899.00000000
WANETH,0.00010870,70227.00000000
WANBNB,0.00000000,0.00000000
WPRBTC,0.00000000,0.00000000
WPRETH,0.00000000,0.00000000
QLCBTC,0.00000000,0.00000000
QLCETH,0.00000000,0.00000000
SYSBTC,0.00000276,767538.00000000
SYSETH,0.00000000,0.00000000
SYSBNB,0.00000000,0.00000000
QLCBNB,0.00000000,0.00000000
GRSBTC,0.00000000,0.00000000
GRSETH,0.00000000,0.00000000
ADAUSDT,0.25060000,70266867.00000000
ADABNB,0.00117800,246336.20000000
CLOAKBTC,0.00000000,0.00000000
CLOAKETH,0.00000000,0.00000000
GNTBTC,0.00000000,0.00000000
GNTETH,0.00000000,0.00000000
GNTBNB,0.00000000,0.00000000
LOOMBTC,0.00000399,45827714.00000000
LOOMETH,0.00000000,0.00000000
LOOMBNB,0.00000000,0.00000000
XRPUSDT,0.51920000,595781931.00000000
BCNBTC,0.00000000,0.00000000
BCNETH,0.00000000,0.00000000
BCNBNB,0.00000000,0.00000000
REPBTC,0.00000000,0.00000000
REPBNB,0.00000000,0.00000000
BTCTUSD,29507.76000000,6210.30921000
TUSDBTC,0.00000000,0.00000000
ETHTUSD,1605.40000000,12141.80590000
TUSDETH,0.00000000,0.00000000
TUSDBNB,0.00000000,0.00000000
ZENBTC,0.00026430,1543.64000000
ZENETH,0.00484800,1368.78000000
ZENBNB,0.00000000,0.00000000
SKYBTC,0.00000000,0.00000000
SKYETH,0.00000000,0.00000000
SKYBNB,0.00000000,0.00000000
EOSUSDT,0.54800000,7129078.10000000
EOSBNB,0.00258300,11564.30000000
CVCBTC,0.00000000,0.00000000
CVCETH,0.00000000,0.00000000
CVCBNB,0.00000000,0.00000000
THETABTC,0.00001978,489860.80000000
THETAETH,0.00036300,21692.60000000
THETABNB,0.00273600,6109.50000000
XRPBNB,0.00244100,1331104.00000000
TUSDUSDT,0.99910000,77661221.00000000
IOTAUSDT,0.14280000,11386998.00000000
XLMUSDT,0.10840000,89242600.00000000
IOTXBTC,0.00000059,2607329.00000000
IOTXETH,0.00001094,935257.00000000
